,Institution,Control,State,Category
0,Abilene Christian University,Private,TX,In-person
1,Academy of Art University,Private,CA,In-person
2,Adelphi University,Private,NY,Hybrid model
3,Adrian College,Private,MI,In-person
4,Agnes Scott College,Private,GA,In-person
5,Albany College of Pharmacy and Health Sciences,Private,NY,In-person
6,Albion College,Private,MI,In-person
7,Allan Hancock College,Public,CA,Online
8,Allegheny College,Private,PA,In-person
9,Alma College,Private,MI,In-person
10,American University,Private,DC,Undecided
11,Amherst College,Private,MA,Undecided
12,Andrews University,Private,MI,In-person
13,Angelo State University,Public,TX,In-person
14,Anne Arundel Community College,Public,MD,Online
15,Antioch College,Private,OH,Hybrid model
16,Appalachian Bible College,Private,WV,In-person
17,Appalachian State University,Public,NC,In-person
18,Aquinas College,Private,MI,In-person
19,Arcadia University,Private,PA,Hybrid model
20,Arizona State University,Public,AZ,Hybrid model
21,Arkansas State University,Public,AR,In-person
22,Arkansas Tech University,Public,AR,In-person
23,Asbury University,Private,KY,In-person
24,Assumption College,Private,MA,Considering options
25,Auburn University,Public,AL,Hybrid model
26,Auburn University at Montgomery,Public,AL,In-person
27,Augusta College,Public,GA,In-person
28,Augustana College,Private,IL,In-person
29,Augustana University,Private,SD,In-person
30,Austin Peay State University,Public,TN,In-person
31,Austin Peay State University,Public,TN,In-person
32,Averett University,Private,VA,In-person
33,Avila University,Private,MO,In-person
34,Azusa Pacific University,Private,CA,In-person
35,Babson College,Private,MA,Considering options
36,Bakersfield College,Public,CA,Online
37,Ball State University,Public,IN,In-person
38,Bard College,Private,NY,In-person
39,Bard College at Simon's Rock,Private,MA,In-person
40,Barnard College,Private,NY,Considering options
41,Barry University,Private,FL,Considering options
42,Bates College,Private,ME,Undecided
43,Bay Atlantic University,Private,DC,Undecided
44,Bay Path University,Private,MA,Considering options
45,Baylor University,Private,TX,In-person
46,Beacon College,Private,FL,In-person
47,Belhaven University,Private,MS,In-person
48,Bellevue College,Public,WA,Online
49,Belmont University,Private,TN,Considering options
50,Beloit College,Private,WI,Hybrid model
51,Bemidji State University,Public,MN,Hybrid model
52,Benedictine College,Private,KS,In-person
53,Bennington College,Private,VT,In-person
54,Bentley University,Private,MA,In-person
55,Berkeley City College,Public,CA,Online
56,Berklee College of Music,Private,MA,Considering options
57,Bethany College,Private,WV,In-person
58,Bethel College,Private,KS,In-person
59,Bethel University,Private,MN,In-person
60,Binghamton University,Public,NY,In-person
61,Biola University,Private,CA,In-person
62,Bloomfield College,Private,NJ,Considering options
63,Bloomsburg University,Public,PA,In-person
64,Bluffton University,Private,OH,In-person
65,Bob Jones University,Private,SC,In-person
66,Boise State University,Public,ID,Hybrid model
67,Boston College,Private,MA,In-person
68,Boston University,Private,MA,In-person
69,Bowdoin College,Private,ME,Undecided
70,Bowling Green State University,Public,OH,In-person
71,Bradley University,Private,IL,In-person
72,Brandeis University,Private,MA,Considering options
73,Brevard College,Private,NC,In-person
74,Brigham Young University,Private,UT,Undecided
75,Brown University,Private,RI,Considering options
76,Bryant University,Private,RI,In-person
77,Bryn Mawr College,Private,PA,In-person
78,Bryn Mawr College,Private,PA,In-person
79,Bucknell University,Private,PA,In-person
80,Buena Vista University,Private,IA,In-person
81,Buffalo State College,Public,NY,Considering options
