,Institution,Control,State,Category,Institution_stripped,Id,County,Longitude,Latitude,Total  enrollment,Urbanization,Carnegie Classifation,out-of-state,foreign,Endowment
0,Abilene Christian University,Private,TX,In-person,abilenechristianuniversity,222178,Taylor County,-99.70954,32.46915,4461.0,City,Master's,13.0,2.0,82162.0
1,Adelphi University,Private,NY,Hybrid model,adelphiuniversity,188429,Nassau County,-73.65332099999998,40.721439,7645.0,Suburb,Research,10.0,5.0,20248.0
2,Adrian College,Private,MI,In-person,adriancollege,168528,Lenawee County,-84.059947,41.898449,1658.0,Town,Baccalaureatte,,,16118.0
3,Agnes Scott College,Private,GA,In-person,agnesscottcollege,138600,DeKalb County,-84.29563,33.769996,915.0,Suburb,Baccalaureatte,37.0,15.0,281391.0
4,Albion College,Private,MI,In-person,albioncollege,168546,Calhoun County,-84.746088,42.24460300000001,1307.0,Town,Baccalaureatte,,,121935.0
5,Allegheny College,Private,PA,In-person,alleghenycollege,210669,Crawford County,-80.146922,41.648068,2161.0,Town,Baccalaureatte,46.0,4.0,78877.0
6,Alma College,Private,MI,In-person,almacollege,168591,Gratiot County,-84.670073,43.379236,1419.0,Town,Baccalaureatte,,,74030.0
7,American University,Private,DC,Undecided,americanuniversity,131159,District of Columbia,-77.090106,38.93780200000001,12818.0,City,Research,,,45966.0
8,Amherst College,Private,MA,Undecided,amherstcollege,164465,Hampshire County,-72.518493,42.372459,1785.0,Suburb,Baccalaureatte,,,930009.0
9,Andrews University,Private,MI,In-person,andrewsuniversity,168740,Berrien County,-86.355149,41.963266,3516.0,Town,Research,60.0,19.0,13019.0
10,Angelo State University,Public,TX,In-person,angelostateuniversity,222831,Tom Green County,-100.466495,31.44145,6536.0,City,Master's,1.0,0.0,
11,Appalachian State University,Public,NC,In-person,appalachianstateuniversity,197869,Watauga County,-81.680234,36.214844,17838.0,Town,Master's,9.0,1.0,
12,Aquinas College,Private,MI,In-person,aquinascollege,168786,Kent County,-85.626166,42.960449,2001.0,City,Master's,8.0,0.0,14687.0
13,Aquinas College,Private,MI,In-person,aquinascollege,219578,Davidson County,-86.84421400000002,36.132187,574.0,City,Baccalaureate/Associate's Colleges,46.0,3.0,20013.0
