,index,AR,Location,Price,SAT,Unnamed: 0,Institution,Control,State,Category,Institution_stripped
0,0,7% Acceptance Rate,"Cambridge, MA ","$22,230 Net Price",1490-1570 SAT Range,418.0,Massachusetts Institute of Technology,Private,MA,Undecided,massachusettsinstituteoftechnology
1,1,5% Acceptance Rate,"Stanford, CA ","$16,562 Net Price",1390-1540 SAT Range,656.0,Stanford University,Private,CA,Hybrid model,stanforduniversity
2,2,5% Acceptance Rate,"Cambridge, MA ","$17,030 Net Price",1460-1590 SAT Range,297.0,Harvard University,Private,MA,Considering options,harvarduniversity
3,3,7% Acceptance Rate,"New Haven, CT ","$18,053 Net Price",1460-1580 SAT Range,975.0,Yale University,Private,CT,Undecided,yaleuniversity
4,4,6% Acceptance Rate,"Princeton, NJ ","$16,302 Net Price",1430-1570 SAT Range,558.0,Princeton University,Private,NJ,Undecided,princetonuniversity
5,5,9% Acceptance Rate,"Philadelphia, PA ","$24,539 Net Price",1420-1560 SAT Range,825.0,University of Pennsylvania,Private,PA,Considering options,universityofpennsylvania
6,6,7% Acceptance Rate,"New York, NY ","$22,824 Net Price",1410-1570 SAT Range,177.0,Columbia University,Private,NY,Considering options,columbiauniversity
7,7,10% Acceptance Rate,"Durham, NC ","$22,011 Net Price",1380-1540 SAT Range,223.0,Duke University,Private,NC,Considering options,dukeuniversity
8,7,10% Acceptance Rate,"Durham, NC ","$22,011 Net Price",1380-1540 SAT Range,224.0,Duke University,Private,NC,In-person,dukeuniversity
9,8,8% Acceptance Rate,"Providence, RI ","$25,651 Net Price",1400-1570 SAT Range,75.0,Brown University,Private,RI,Considering options,brownuniversity
10,9,8% Acceptance Rate,"Pasadena, CA ","$24,466 Net Price",1530-1590 SAT Range,,,,,,
11,10,16% Acceptance Rate,"Saint Louis, MO ","$27,777 Net Price",1470-1570 SAT Range,930.0,Washington University in St. Louis,Private,MO,In-person,washingtonuniversityinst.louis
12,11,16% Acceptance Rate,"Houston, TX ","$24,131 Net Price",1490-1580 SAT Range,573.0,Rice University,Private,TX,Hybrid model,riceuniversity
13,12,19% Acceptance Rate,"Notre Dame, IN ","$27,453 Net Price",1370-1520 SAT Range,822.0,University of Notre Dame,Private,IN,In-person,universityofnotredame
14,13,9% Acceptance Rate,"Evanston, IL ","$26,099 Net Price",1420-1560 SAT Range,516.0,Northwestern University,Private,IL,Hybrid model,northwesternuniversity
15,14,8% Acceptance Rate,"Chicago, IL ","$34,834 Net Price",1480-1580 SAT Range,739.0,University of Chicago,Private,IL,Undecided,universityofchicago
16,15,8% Acceptance Rate,"Claremont, CA ","$18,427 Net Price",1370-1530 SAT Range,550.0,Pomona College,Private,CA,Undecided,pomonacollege
17,16,14% Acceptance Rate,"Brunswick, ME ","$24,447 Net Price",1360-1510 SAT Range,69.0,Bowdoin College,Private,ME,Undecided,bowdoincollege
18,17,11% Acceptance Rate,"Nashville, TN ","$23,295 Net Price",1440-1570 SAT Range,913.0,Vanderbilt University,Private,TN,Hybrid model,vanderbiltuniversity
19,18,10% Acceptance Rate,"Hanover, NH ","$22,303 Net Price",1430-1560 SAT Range,204.0,Dartmouth College,Private,NH,Considering options,dartmouthcollege
20,19,17% Acceptance Rate,"Los Angeles, CA ","$32,892 Net Price",1300-1500 SAT Range,840.0,University of Southern California,Private,CA,Hybrid model,universityofsoutherncalifornia
21,20,13% Acceptance Rate,"Ithaca, NY ","$31,449 Net Price",1390-1550 SAT Range,190.0,Cornell University,Private,NY,Undecided,cornelluniversity
22,21,16% Acceptance Rate,"Washington, DC ","$27,420 Net Price",1350-1520 SAT Range,277.0,Georgetown University,Private,DC,Hybrid model,georgetownuniversity
23,22,27% Acceptance Rate,"Ann Arbor, MI ","$16,408 Net Price",1330-1500 SAT Range,791.0,University of Michigan at Ann Arbor,Public,MI,In-person,universityofmichiganatannarbor
24,23,13% Acceptance Rate,"Amherst, MA ","$19,519 Net Price",1400-1560 SAT Range,11.0,Amherst College,Private,MA,Undecided,amherstcollege
25,24,15% Acceptance Rate,"Medford, MA ","$29,449 Net Price",1410-1540 SAT Range,707.0,Tufts University,Private,MA,Considering options,tuftsuniversity
26,25,13% Acceptance Rate,"Baltimore, MD ","$29,066 Net Price",1450-1570 SAT Range,341.0,Johns Hopkins University,Private,MD,Considering options,johnshopkinsuniversity
27,26,22% Acceptance Rate,"Atlanta, GA ","$26,867 Net Price",1350-1520 SAT Range,243.0,Emory University,Private,GA,In-person,emoryuniversity
28,27,27% Acceptance Rate,"Charlottesville, VA ","$16,594 Net Price",1310-1500 SAT Range,855.0,University of Virginia,Public,VA,In-person,universityofvirginia
29,28,16% Acceptance Rate,"Los Angeles, CA ","$14,760 Net Price",1220-1450 SAT Range,729.0,University of California at Los Angeles,Public,CA,Hybrid model,universityofcaliforniaatlosangeles
30,29,11% Acceptance Rate,"Swarthmore, PA ","$20,444 Net Price",1380-1540 SAT Range,665.0,Swarthmore College,Private,PA,Undecided,swarthmorecollege
31,30,10% Acceptance Rate,"West Point, NY ",— Net Price,1180-1400 SAT Range,,,,,,
32,31,17% Acceptance Rate,"Middlebury, VT ","$22,841 Net Price",1320-1510 SAT Range,437.0,Middlebury College,Private,VT,Undecided,middleburycollege
