,index,date,county,state,fips,cases,deaths
0,227689,2020-06-12,Autauga,Alabama,1001.0,327,6
1,227690,2020-06-12,Baldwin,Alabama,1003.0,368,9
2,227691,2020-06-12,Barbour,Alabama,1005.0,222,1
3,227692,2020-06-12,Bibb,Alabama,1007.0,100,1
4,227693,2020-06-12,Blount,Alabama,1009.0,97,1
5,227694,2020-06-12,Bullock,Alabama,1011.0,260,9
6,227695,2020-06-12,Butler,Alabama,1013.0,502,25
7,227696,2020-06-12,Calhoun,Alabama,1015.0,196,3
8,227697,2020-06-12,Chambers,Alabama,1017.0,441,26
9,227698,2020-06-12,Cherokee,Alabama,1019.0,48,5
10,227699,2020-06-12,Chilton,Alabama,1021.0,128,2
11,227700,2020-06-12,Choctaw,Alabama,1023.0,167,11
12,227701,2020-06-12,Clarke,Alabama,1025.0,176,3
13,227702,2020-06-12,Clay,Alabama,1027.0,30,2
14,227703,2020-06-12,Cleburne,Alabama,1029.0,20,1
15,227704,2020-06-12,Coffee,Alabama,1031.0,269,1
16,227705,2020-06-12,Colbert,Alabama,1033.0,248,5
17,227706,2020-06-12,Conecuh,Alabama,1035.0,78,1
18,227707,2020-06-12,Coosa,Alabama,1037.0,43,1
19,227708,2020-06-12,Covington,Alabama,1039.0,111,1
20,227709,2020-06-12,Crenshaw,Alabama,1041.0,108,3
21,227710,2020-06-12,Cullman,Alabama,1043.0,247,1
22,227711,2020-06-12,Dale,Alabama,1045.0,167,0
23,227712,2020-06-12,Dallas,Alabama,1047.0,425,6
24,227713,2020-06-12,DeKalb,Alabama,1049.0,307,5
25,227714,2020-06-12,Elmore,Alabama,1051.0,498,9
26,227715,2020-06-12,Escambia,Alabama,1053.0,99,3
27,227716,2020-06-12,Etowah,Alabama,1055.0,303,12
28,227717,2020-06-12,Fayette,Alabama,1057.0,29,0
29,227718,2020-06-12,Franklin,Alabama,1059.0,668,10
30,227719,2020-06-12,Geneva,Alabama,1061.0,46,0
31,227720,2020-06-12,Greene,Alabama,1063.0,117,5
32,227721,2020-06-12,Hale,Alabama,1065.0,228,14
33,227722,2020-06-12,Henry,Alabama,1067.0,97,2
34,227723,2020-06-12,Houston,Alabama,1069.0,289,5
35,227724,2020-06-12,Jackson,Alabama,1071.0,116,3
36,227725,2020-06-12,Jefferson,Alabama,1073.0,2373,118
37,227726,2020-06-12,Lamar,Alabama,1075.0,35,0
38,227727,2020-06-12,Lauderdale,Alabama,1077.0,218,3
39,227728,2020-06-12,Lawrence,Alabama,1079.0,61,0
40,227729,2020-06-12,Lee,Alabama,1081.0,658,35
41,227730,2020-06-12,Limestone,Alabama,1083.0,177,0
42,227731,2020-06-12,Lowndes,Alabama,1085.0,340,14
43,227732,2020-06-12,Macon,Alabama,1087.0,118,5
44,227733,2020-06-12,Madison,Alabama,1089.0,477,5
45,227734,2020-06-12,Marengo,Alabama,1091.0,205,9
46,227735,2020-06-12,Marion,Alabama,1093.0,136,12
47,227736,2020-06-12,Marshall,Alabama,1095.0,816,9
48,227737,2020-06-12,Mobile,Alabama,1097.0,2642,129
49,227738,2020-06-12,Monroe,Alabama,1099.0,107,2
50,227739,2020-06-12,Montgomery,Alabama,1101.0,2581,69
51,227740,2020-06-12,Morgan,Alabama,1103.0,522,2
52,227741,2020-06-12,Perry,Alabama,1105.0,62,0
53,227742,2020-06-12,Pickens,Alabama,1107.0,138,6
54,227743,2020-06-12,Pike,Alabama,1109.0,300,2
55,227744,2020-06-12,Randolph,Alabama,1111.0,140,8
56,227745,2020-06-12,Russell,Alabama,1113.0,268,0
57,227746,2020-06-12,Shelby,Alabama,1117.0,615,20
58,227747,2020-06-12,St. Clair,Alabama,1115.0,166,2
59,227748,2020-06-12,Sumter,Alabama,1119.0,258,11
60,227749,2020-06-12,Talladega,Alabama,1121.0,156,5
61,227750,2020-06-12,Tallapoosa,Alabama,1123.0,462,67
62,227751,2020-06-12,Tuscaloosa,Alabama,1125.0,1169,24
63,227752,2020-06-12,Walker,Alabama,1127.0,533,6
64,227753,2020-06-12,Washington,Alabama,1129.0,88,6
65,227754,2020-06-12,Wilcox,Alabama,1131.0,202,8
66,227755,2020-06-12,Winston,Alabama,1133.0,112,0
67,227756,2020-06-12,Aleutians East Borough,Alaska,2013.0,1,0
68,227757,2020-06-12,Aleutians West Census Area,Alaska,2016.0,4,0
69,227758,2020-06-12,Anchorage,Alaska,2020.0,331,6
70,227759,2020-06-12,Bethel Census Area,Alaska,2050.0,4,0
71,227760,2020-06-12,Bristol Bay Borough,Alaska,2060.0,2,0
72,227761,2020-06-12,Dillingham Census Area,Alaska,2070.0,1,0
73,227762,2020-06-12,Fairbanks North Star Borough,Alaska,2090.0,90,2
74,227763,2020-06-12,Haines Borough,Alaska,2100.0,1,0
75,227764,2020-06-12,Juneau City and Borough,Alaska,2110.0,38,0
76,227765,2020-06-12,Kenai Peninsula Borough,Alaska,2122.0,109,1
77,227766,2020-06-12,Ketchikan Gateway Borough,Alaska,2130.0,17,0
78,227767,2020-06-12,Kodiak Island Borough,Alaska,2150.0,3,0
79,227768,2020-06-12,Lake and Peninsula Borough,Alaska,2164.0,1,0
80,227769,2020-06-12,Matanuska-Susitna Borough,Alaska,2170.0,42,1
81,227770,2020-06-12,Nome Census Area,Alaska,2180.0,4,0
82,227771,2020-06-12,North Slope Borough,Alaska,2185.0,1,0
83,227772,2020-06-12,Northwest Arctic Borough,Alaska,2188.0,4,0
84,227773,2020-06-12,Petersburg Borough,Alaska,2195.0,3,0
85,227774,2020-06-12,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0
86,227775,2020-06-12,Sitka City and Borough,Alaska,2220.0,9,0
87,227776,2020-06-12,Southeast Fairbanks Census Area,Alaska,2240.0,4,0
88,227777,2020-06-12,Unknown,Alaska,,2,0
89,227778,2020-06-12,Valdez-Cordova Census Area,Alaska,2261.0,13,0
90,227779,2020-06-12,Wrangell City and Borough,Alaska,2275.0,1,0
91,227780,2020-06-12,Yukon-Koyukuk Census Area,Alaska,2290.0,1,0
92,227781,2020-06-12,Apache,Arizona,4001.0,1927,53
93,227782,2020-06-12,Cochise,Arizona,4003.0,178,5
94,227783,2020-06-12,Coconino,Arizona,4005.0,1345,86
95,227784,2020-06-12,Gila,Arizona,4007.0,54,3
96,227785,2020-06-12,Graham,Arizona,4009.0,48,2
97,227786,2020-06-12,Greenlee,Arizona,4011.0,11,1
98,227787,2020-06-12,La Paz,Arizona,4012.0,217,2
99,227788,2020-06-12,Maricopa,Arizona,4013.0,17023,536
100,227789,2020-06-12,Mohave,Arizona,4015.0,584,64
101,227790,2020-06-12,Navajo,Arizona,4017.0,2512,79
102,227791,2020-06-12,Pima,Arizona,4019.0,3628,222
