,FIPStxt,POP_ESTIMATE_2019,Area_Name
1,1000,"4,903,185",Alabama
2,1001,"55,869",Autauga County
3,1003,"223,234",Baldwin County
4,1005,"24,686",Barbour County
5,1007,"22,394",Bibb County
6,1009,"57,826",Blount County
7,1011,"10,101",Bullock County
8,1013,"19,448",Butler County
9,1015,"113,605",Calhoun County
10,1017,"33,254",Chambers County
11,1019,"26,196",Cherokee County
12,1021,"44,428",Chilton County
13,1023,"12,589",Choctaw County
14,1025,"23,622",Clarke County
15,1027,"13,235",Clay County
16,1029,"14,910",Cleburne County
17,1031,"52,342",Coffee County
18,1033,"55,241",Colbert County
19,1035,"12,067",Conecuh County
20,1037,"10,663",Coosa County
21,1039,"37,049",Covington County
22,1041,"13,772",Crenshaw County
23,1043,"83,768",Cullman County
24,1045,"49,172",Dale County
25,1047,"37,196",Dallas County
26,1049,"71,513",DeKalb County
27,1051,"81,209",Elmore County
28,1053,"36,633",Escambia County
29,1055,"102,268",Etowah County
30,1057,"16,302",Fayette County
31,1059,"31,362",Franklin County
32,1061,"26,271",Geneva County
33,1063,"8,111",Greene County
34,1065,"14,651",Hale County
35,1067,"17,205",Henry County
36,1069,"105,882",Houston County
37,1071,"51,626",Jackson County
38,1073,"658,573",Jefferson County
39,1075,"13,805",Lamar County
40,1077,"92,729",Lauderdale County
41,1079,"32,924",Lawrence County
42,1081,"164,542",Lee County
43,1083,"98,915",Limestone County
44,1085,"9,726",Lowndes County
45,1087,"18,068",Macon County
46,1089,"372,909",Madison County
47,1091,"18,863",Marengo County
48,1093,"29,709",Marion County
49,1095,"96,774",Marshall County
50,1097,"413,210",Mobile County
51,1099,"20,733",Monroe County
52,1101,"226,486",Montgomery County
53,1103,"119,679",Morgan County
54,1105,"8,923",Perry County
55,1107,"19,930",Pickens County
56,1109,"33,114",Pike County
57,1111,"22,722",Randolph County
58,1113,"57,961",Russell County
59,1115,"89,512",St. Clair County
60,1117,"217,702",Shelby County
61,1119,"12,427",Sumter County
62,1121,"79,978",Talladega County
63,1123,"40,367",Tallapoosa County
64,1125,"209,355",Tuscaloosa County
65,1127,"63,521",Walker County
66,1129,"16,326",Washington County
67,1131,"10,373",Wilcox County
68,1133,"23,629",Winston County
69,2000,"731,545",Alaska
70,2013,"3,337",Aleutians East Borough
71,2016,"5,634",Aleutians West Census Area
72,2020,"288,000",Anchorage Municipality
73,2050,"18,386",Bethel Census Area
74,2060,836,Bristol Bay Borough
75,2068,"2,097",Denali Borough
76,2070,"4,916",Dillingham Census Area
77,2090,"96,849",Fairbanks North Star Borough
78,2100,"2,530",Haines Borough
79,2105,"2,148",Hoonah-Angoon Census Area
80,2110,"31,974",Juneau City and Borough
81,2122,"58,708",Kenai Peninsula Borough
82,2130,"13,901",Ketchikan Gateway Borough
83,2150,"12,998",Kodiak Island Borough
84,2158,"8,314",Kusilvak Census Area
85,2164,"1,592",Lake and Peninsula Borough
86,2170,"108,317",Matanuska-Susitna Borough
87,2180,"10,004",Nome Census Area
88,2185,"9,832",North Slope Borough
89,2188,"7,621",Northwest Arctic Borough
90,2195,"3,266",Petersburg Borough
91,2198,"6,203",Prince of Wales-Hyder Census Area
92,2220,"8,493",Sitka City and Borough
93,2230,"1,183",Skagway Municipality
94,2240,"6,893",Southeast Fairbanks Census Area
95,2261,"9,202",Valdez-Cordova Census Area
96,2275,"2,502",Wrangell City and Borough
97,2282,579,Yakutat City and Borough
98,2290,"5,230",Yukon-Koyukuk Census Area
99,4000,"7,278,717",Arizona
100,4001,"71,887",Apache County
101,4003,"125,922",Cochise County
102,4005,"143,476",Coconino County
103,4007,"54,018",Gila County
104,4009,"38,837",Graham County
105,4011,"9,498",Greenlee County
106,4012,"21,108",La Paz County
107,4013,"4,485,414",Maricopa County
108,4015,"212,181",Mohave County
109,4017,"110,924",Navajo County
110,4019,"1,047,279",Pima County
111,4021,"462,789",Pinal County
112,4023,"46,498",Santa Cruz County
113,4025,"235,099",Yavapai County
114,4027,"213,787",Yuma County
115,5000,"3,017,804",Arkansas
116,5001,"17,486",Arkansas County
117,5003,"19,657",Ashley County
118,5005,"41,932",Baxter County
119,5007,"279,141",Benton County
120,5009,"37,432",Boone County
121,5011,"10,763",Bradley County
122,5013,"5,189",Calhoun County
123,5015,"28,380",Carroll County
124,5017,"10,118",Chicot County
125,5019,"22,320",Clark County
126,5021,"14,551",Clay County
127,5023,"24,919",Cleburne County
128,5025,"7,956",Cleveland County
129,5027,"23,457",Columbia County
130,5029,"20,846",Conway County
131,5031,"110,332",Craighead County
132,5033,"63,257",Crawford County
133,5035,"47,955",Crittenden County
134,5037,"16,419",Cross County
135,5039,"7,009",Dallas County
136,5041,"11,361",Desha County
137,5043,"18,219",Drew County
138,5045,"126,007",Faulkner County
139,5047,"17,715",Franklin County
140,5049,"12,477",Fulton County
141,5051,"99,386",Garland County
142,5053,"18,265",Grant County
143,5055,"45,325",Greene County
144,5057,"21,532",Hempstead County
145,5059,"33,771",Hot Spring County
146,5061,"13,202",Howard County
147,5063,"37,825",Independence County
148,5065,"13,629",Izard County
149,5067,"16,719",Jackson County
150,5069,"66,824",Jefferson County
151,5071,"26,578",Johnson County
152,5073,"6,624",Lafayette County
153,5075,"16,406",Lawrence County
154,5077,"8,857",Lee County
155,5079,"13,024",Lincoln County
156,5081,"12,259",Little River County
157,5083,"21,466",Logan County
158,5085,"73,309",Lonoke County
159,5087,"16,576",Madison County
160,5089,"16,694",Marion County
161,5091,"43,257",Miller County
162,5093,"40,651",Mississippi County
163,5095,"6,701",Monroe County
164,5097,"8,986",Montgomery County
165,5099,"8,252",Nevada County
166,5101,"7,753",Newton County
167,5103,"23,382",Ouachita County
168,5105,"10,455",Perry County
169,5107,"17,782",Phillips County
170,5109,"10,718",Pike County
171,5111,"23,528",Poinsett County
172,5113,"19,964",Polk County
173,5115,"64,072",Pope County
174,5117,"8,062",Prairie County
175,5119,"391,911",Pulaski County
176,5121,"17,958",Randolph County
177,5123,"24,994",St. Francis County
178,5125,"122,437",Saline County
179,5127,"10,281",Scott County
180,5129,"7,881",Searcy County
181,5131,"127,827",Sebastian County
182,5133,"17,007",Sevier County
183,5135,"17,442",Sharp County
184,5137,"12,506",Stone County
185,5139,"38,682",Union County
186,5141,"16,545",Van Buren County
187,5143,"239,187",Washington County
188,5145,"78,753",White County
189,5147,"6,320",Woodruff County
190,5149,"21,341",Yell County
191,6000,"39,512,223",California
192,6001,"1,671,329",Alameda County
193,6003,"1,129",Alpine County
194,6005,"39,752",Amador County
195,6007,"219,186",Butte County
196,6009,"45,905",Calaveras County
197,6011,"21,547",Colusa County
198,6013,"1,153,526",Contra Costa County
199,6015,"27,812",Del Norte County
200,6017,"192,843",El Dorado County
201,6019,"999,101",Fresno County
202,6021,"28,393",Glenn County
203,6023,"135,558",Humboldt County
204,6025,"181,215",Imperial County
205,6027,"18,039",Inyo County
206,6029,"900,202",Kern County
207,6031,"152,940",Kings County
208,6033,"64,386",Lake County
209,6035,"30,573",Lassen County
210,6037,"10,039,107",Los Angeles County
211,6039,"157,327",Madera County
212,6041,"258,826",Marin County
213,6043,"17,203",Mariposa County
214,6045,"86,749",Mendocino County
215,6047,"277,680",Merced County
216,6049,"8,841",Modoc County
217,6051,"14,444",Mono County
218,6053,"434,061",Monterey County
219,6055,"137,744",Napa County
220,6057,"99,755",Nevada County
221,6059,"3,175,692",Orange County
222,6061,"398,329",Placer County
223,6063,"18,807",Plumas County
224,6065,"2,470,546",Riverside County
225,6067,"1,552,058",Sacramento County
226,6069,"62,808",San Benito County
227,6071,"2,180,085",San Bernardino County
228,6073,"3,338,330",San Diego County
229,6075,"881,549",San Francisco County
230,6077,"762,148",San Joaquin County
231,6079,"283,111",San Luis Obispo County
232,6081,"766,573",San Mateo County
233,6083,"446,499",Santa Barbara County
234,6085,"1,927,852",Santa Clara County
235,6087,"273,213",Santa Cruz County
236,6089,"180,080",Shasta County
237,6091,"3,005",Sierra County
238,6093,"43,539",Siskiyou County
239,6095,"447,643",Solano County
240,6097,"494,336",Sonoma County
241,6099,"550,660",Stanislaus County
242,6101,"96,971",Sutter County
243,6103,"65,084",Tehama County
244,6105,"12,285",Trinity County
245,6107,"466,195",Tulare County
246,6109,"54,478",Tuolumne County
247,6111,"846,006",Ventura County
248,6113,"220,500",Yolo County
249,6115,"78,668",Yuba County
250,8000,"5,758,736",Colorado
251,8001,"517,421",Adams County
252,8003,"16,233",Alamosa County
253,8005,"656,590",Arapahoe County
254,8007,"14,029",Archuleta County
255,8009,"3,581",Baca County
256,8011,"5,577",Bent County
257,8013,"326,196",Boulder County
258,8014,"70,465",Broomfield County
259,8015,"20,356",Chaffee County
260,8017,"1,831",Cheyenne County
261,8019,"9,700",Clear Creek County
262,8021,"8,205",Conejos County
263,8023,"3,887",Costilla County
264,8025,"6,061",Crowley County
265,8027,"5,068",Custer County
266,8029,"31,162",Delta County
267,8031,"727,211",Denver County
268,8033,"2,055",Dolores County
269,8035,"351,154",Douglas County
270,8037,"55,127",Eagle County
271,8039,"26,729",Elbert County
272,8041,"720,403",El Paso County
273,8043,"47,839",Fremont County
274,8045,"60,061",Garfield County
275,8047,"6,243",Gilpin County
276,8049,"15,734",Grand County
277,8051,"17,462",Gunnison County
278,8053,820,Hinsdale County
279,8055,"6,897",Huerfano County
280,8057,"1,392",Jackson County
281,8059,"582,881",Jefferson County
282,8061,"1,406",Kiowa County
283,8063,"7,097",Kit Carson County
284,8065,"8,127",Lake County
285,8067,"56,221",La Plata County
286,8069,"356,899",Larimer County
287,8071,"14,506",Las Animas County
288,8073,"5,701",Lincoln County
289,8075,"22,409",Logan County
290,8077,"154,210",Mesa County
291,8079,769,Mineral County
292,8081,"13,283",Moffat County
293,8083,"26,183",Montezuma County
294,8085,"42,758",Montrose County
295,8087,"29,068",Morgan County
296,8089,"18,278",Otero County
297,8091,"4,952",Ouray County
298,8093,"18,845",Park County
299,8095,"4,265",Phillips County
300,8097,"17,767",Pitkin County
301,8099,"12,172",Prowers County
302,8101,"168,424",Pueblo County
303,8103,"6,324",Rio Blanco County
304,8105,"11,267",Rio Grande County
305,8107,"25,638",Routt County
306,8109,"6,824",Saguache County
307,8111,728,San Juan County
308,8113,"8,179",San Miguel County
309,8115,"2,248",Sedgwick County
310,8117,"31,011",Summit County
311,8119,"25,388",Teller County
312,8121,"4,908",Washington County
313,8123,"324,492",Weld County
314,8125,"10,019",Yuma County
315,9000,"3,565,287",Connecticut
316,9001,"943,332",Fairfield County
317,9003,"891,720",Hartford County
318,9005,"180,333",Litchfield County
319,9007,"162,436",Middlesex County
320,9009,"854,757",New Haven County
321,9011,"265,206",New London County
322,9013,"150,721",Tolland County
323,9015,"116,782",Windham County
324,10000,"973,764",Delaware
