Institution,AR,Location,Price,SAT
Massachusetts Institute of Technology,7% Acceptance Rate,"Cambridge, MA ","$22,230 Net Price",1490-1570 SAT Range
Stanford University,5% Acceptance Rate,"Stanford, CA ","$16,562 Net Price",1390-1540 SAT Range
Harvard University,5% Acceptance Rate,"Cambridge, MA ","$17,030 Net Price",1460-1590 SAT Range
Yale University,7% Acceptance Rate,"New Haven, CT ","$18,053 Net Price",1460-1580 SAT Range
Princeton University,6% Acceptance Rate,"Princeton, NJ ","$16,302 Net Price",1430-1570 SAT Range
University of Pennsylvania,9% Acceptance Rate,"Philadelphia, PA ","$24,539 Net Price",1420-1560 SAT Range
Columbia University,7% Acceptance Rate,"New York, NY ","$22,824 Net Price",1410-1570 SAT Range
Duke University,10% Acceptance Rate,"Durham, NC ","$22,011 Net Price",1380-1540 SAT Range
Brown University,8% Acceptance Rate,"Providence, RI ","$25,651 Net Price",1400-1570 SAT Range
California Institute of Technology,8% Acceptance Rate,"Pasadena, CA ","$24,466 Net Price",1530-1590 SAT Range
Washington University in St. Louis,16% Acceptance Rate,"Saint Louis, MO ","$27,777 Net Price",1470-1570 SAT Range
Rice University,16% Acceptance Rate,"Houston, TX ","$24,131 Net Price",1490-1580 SAT Range
University of Notre Dame,19% Acceptance Rate,"Notre Dame, IN ","$27,453 Net Price",1370-1520 SAT Range
Northwestern University,9% Acceptance Rate,"Evanston, IL ","$26,099 Net Price",1420-1560 SAT Range
University of Chicago,8% Acceptance Rate,"Chicago, IL ","$34,834 Net Price",1480-1580 SAT Range
Pomona College,8% Acceptance Rate,"Claremont, CA ","$18,427 Net Price",1370-1530 SAT Range
Bowdoin College,14% Acceptance Rate,"Brunswick, ME ","$24,447 Net Price",1360-1510 SAT Range
Vanderbilt University,11% Acceptance Rate,"Nashville, TN ","$23,295 Net Price",1440-1570 SAT Range
Dartmouth College,10% Acceptance Rate,"Hanover, NH ","$22,303 Net Price",1430-1560 SAT Range
University of Southern California,17% Acceptance Rate,"Los Angeles, CA ","$32,892 Net Price",1300-1500 SAT Range
Cornell University,13% Acceptance Rate,"Ithaca, NY ","$31,449 Net Price",1390-1550 SAT Range
Georgetown University,16% Acceptance Rate,"Washington, DC ","$27,420 Net Price",1350-1520 SAT Range
University of Michigan at Ann Arbor,27% Acceptance Rate,"Ann Arbor, MI ","$16,408 Net Price",1330-1500 SAT Range
Amherst College,13% Acceptance Rate,"Amherst, MA ","$19,519 Net Price",1400-1560 SAT Range
Tufts University,15% Acceptance Rate,"Medford, MA ","$29,449 Net Price",1410-1540 SAT Range
Johns Hopkins University,13% Acceptance Rate,"Baltimore, MD ","$29,066 Net Price",1450-1570 SAT Range
Emory University,22% Acceptance Rate,"Atlanta, GA ","$26,867 Net Price",1350-1520 SAT Range
University of Virginia,27% Acceptance Rate,"Charlottesville, VA ","$16,594 Net Price",1310-1500 SAT Range
University of California at Los Angeles,16% Acceptance Rate,"Los Angeles, CA ","$14,760 Net Price",1220-1450 SAT Range
Swarthmore College,11% Acceptance Rate,"Swarthmore, PA ","$20,444 Net Price",1380-1540 SAT Range
United States Military Academy at West Point,10% Acceptance Rate,"West Point, NY ",— Net Price,1180-1400 SAT Range
Middlebury College,17% Acceptance Rate,"Middlebury, VT ","$22,841 Net Price",1320-1510 SAT Range
Carnegie Mellon University,22% Acceptance Rate,"Pittsburgh, PA ","$29,817 Net Price",1430-1560 SAT Range
Barnard College,15% Acceptance Rate,"New York, NY ","$23,736 Net Price",1310-1500 SAT Range
Carleton College,21% Acceptance Rate,"Northfield, MN ","$28,148 Net Price",1360-1530 SAT Range
Washington & Lee University,22% Acceptance Rate,"Lexington, VA ","$25,029 Net Price",1350-1490 SAT Range
University of California at Berkeley,17% Acceptance Rate,"Berkeley, CA ","$18,178 Net Price",1260-1480 SAT Range
Georgia Institute of Technology,23% Acceptance Rate,"Atlanta, GA ","$15,873 Net Price",1090-1520 SAT Range
Wellesley College,28% Acceptance Rate,"Wellesley, MA ","$20,189 Net Price",1360-1530 SAT Range
Haverford College,20% Acceptance Rate,"Haverford, PA ","$23,582 Net Price",1390-1530 SAT Range
Claremont McKenna College,10% Acceptance Rate,"Claremont, CA ","$28,712 Net Price",1340-1510 SAT Range
Williams College,15% Acceptance Rate,"Williamstown, MA ","$20,380 Net Price",1400-1570 SAT Range
Bates College,22% Acceptance Rate,"Lewiston, ME ","$23,312 Net Price",1385-1460 SAT Range
University of North Carolina at Chapel Hill,24% Acceptance Rate,"Chapel Hill, NC ","$11,100 Net Price",1270-1460 SAT Range
Wake Forest University,28% Acceptance Rate,"Winston-Salem, NC ","$23,986 Net Price",1270-1410 SAT Range
Northeastern University,27% Acceptance Rate,"Boston, MA ","$30,784 Net Price",1370-1520 SAT Range
Virginia Tech,70% Acceptance Rate,"Blacksburg, VA ","$18,700 Net Price",1180-1360 SAT Range
University of Texas at Austin,36% Acceptance Rate,"Austin, TX ","$14,356 Net Price",1220-1460 SAT Range
Lehigh University,25% Acceptance Rate,"Bethlehem, PA ","$26,933 Net Price",1270-1430 SAT Range
Colby College,16% Acceptance Rate,"Waterville, ME ","$20,361 Net Price",1340-1500 SAT Range
Boston College,32% Acceptance Rate,"Chestnut Hill, MA ","$27,299 Net Price",1320-1490 SAT Range
College of William & Mary,36% Acceptance Rate,"Williamsburg, VA ","$17,415 Net Price",1300-1480 SAT Range
Hamilton College,24% Acceptance Rate,"Clinton, NY ","$22,139 Net Price",1360-1510 SAT Range
Davidson College,20% Acceptance Rate,"Davidson, NC ","$28,339 Net Price",1310-1470 SAT Range
Colgate University,28% Acceptance Rate,"Hamilton, NY ","$22,182 Net Price",1310-1500 SAT Range
Smith College,32% Acceptance Rate,"Northampton, MA ","$26,734 Net Price",1240-1470 SAT Range
New York University,28% Acceptance Rate,"New York, NY ","$36,256 Net Price",1290-1490 SAT Range
University of Richmond,33% Acceptance Rate,"University of Richmond, VA ","$24,575 Net Price",1270-1460 SAT Range
Wesleyan University,16% Acceptance Rate,"Middletown, CT ","$24,251 Net Price",1300-1480 SAT Range
University of Wisconsin at Madison,54% Acceptance Rate,"Madison, WI ","$15,910 Net Price",1280-1450 SAT Range
Harvey Mudd College,15% Acceptance Rate,"Claremont, CA ","$38,135 Net Price",1470-1570 SAT Range
University of Florida,42% Acceptance Rate,"Gainesville, FL ","$15,283 Net Price",1240-1400 SAT Range
University of Rochester,34% Acceptance Rate,"Rochester, NY ","$37,064 Net Price",1300-1490 SAT Range
University of Illinois at Urbana-Champaign,62% Acceptance Rate,"Champaign, IL ","$16,638 Net Price",1340-1500 SAT Range
Bucknell University,31% Acceptance Rate,"Lewisburg, PA ","$37,817 Net Price",1250-1420 SAT Range
Boston University,25% Acceptance Rate,"Boston, MA ","$33,728 Net Price",1300-1480 SAT Range
University of Georgia,54% Acceptance Rate,"Athens, GA ","$15,934 Net Price",1200-1370 SAT Range
Grinnell College,29% Acceptance Rate,"Grinnell, IA ","$29,492 Net Price",1310-1510 SAT Range
Brigham Young University,52% Acceptance Rate,"Provo, UT ","$12,979 Net Price",1210-1410 SAT Range
Tulane University,21% Acceptance Rate,"New Orleans, LA ","$33,886 Net Price",1330-1490 SAT Range
Colorado School of Mines,56% Acceptance Rate,"Golden, CO ","$25,472 Net Price",1310-1450 SAT Range
Vassar College,24% Acceptance Rate,"Poughkeepsie, NY ","$23,763 Net Price",1330-1500 SAT Range
Kenyon College,34% Acceptance Rate,"Gambier, OH ","$31,704 Net Price",1260-1460 SAT Range
